"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"23 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"28.00";"28.00";"27.70";"27.80";"22/01/2019 17:12";"CET";"924";"25755.70"
"2CRSI";"FR0013341781";"2CRSI";"Euronext Paris";"EUR";"9.16";"9.24";"9.00";"9.00";"22/01/2019 17:35";"CET";"9910";"90464.44"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"6.00";"6.00";"6.00";"6.00";"18/01/2019 16:30";"CET";"840";"5040.00"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.11";"0.11";"0.11";"0.11";"18/01/2019 11:30";"CET";"150";"16.50"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"1.13";"1.13";"1.13";"1.13";"22/01/2019 16:30";"CET";"781";"882.53"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"5.88";"5.88";"5.34";"5.41";"22/01/2019 17:35";"CET";"41799";"234821.12"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"29.97";"30.00";"29.45";"29.69";"22/01/2019 17:37";"CET";"154438";"4588084.34"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"64.70";"64.94";"64.02";"64.15";"22/01/2019 17:35";"CET";"1946840";"125287127.98"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"3.90";"3.90";"3.818";"3.844";"22/01/2019 17:35";"CET";"16943";"65404.91"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6.20";"6.20";"6.13";"6.13";"22/01/2019 17:35";"CET";"15846";"97514.93"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"30.60";"31.00";"30.60";"31.00";"22/01/2019 17:22";"CET";"4905";"151925.70"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"9.86";"10.08";"9.51";"9.60";"22/01/2019 17:35";"CET";"20345";"196839.31"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"22.59";"22.64";"22.37";"22.41";"22/01/2019 17:35";"CET";"1884449";"42320169.50"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"2.06";"2.06";"2.06";"2.06";"22/01/2019 11:30";"CET";"21";"43.26"
